"id","post","lang","age_group"
14617,"Y eso que a Pablo no le apatecio, si no….",sp,1
14619,"Isaías 41:10
No tengas miedo
porqué yo estoy contigo
no te desalientes
porqué yo soy tu dios
te daré fuerzas y te ayudaré. ❤️‍🩹
(copien este recado este lindo recado) 🙏",sp,1
14641,Y eso que Roro lo hace con una técnica más pulida 🗿,sp,1
14647,no se muy bien el entrenamiento de la otra pero tengo entendido q al tener los brazos así se puede lesionar mientras q roro esta haciendo bien la técnica si me equivoco corrijanme,sp,1
14657,jajaja la campeona la esta haciendo casi en arco es mas dificil,sp,1
14663,Hay algo que esta mujer no haga bien?????????🥰,sp,1
14669,"y el detalle es que roro lo hacía en la posición como se debía hacer, la otra chica, con esa posición que estaba haciendo lastimosamente no hacía mucho en lo que respecta las flexiones",sp,1
14678,la tecnica de la campeona del mundo esta mal y con eso no entrenas nd la técnica de roro es la buena cuesta más por que trabajas más y encima hizo más flexiones que la campeona solo digo saludos😁🙂,sp,1
14682,"La inalcanzable de TikTok. Roro tiene nuestro respeto, esa mujer se propone algo y lo hace hasta que le sale como ella quiere. 🥹",sp,1
14694,por eso dicen el alumno superó al maestro,sp,1
14705,es que roto si las esta asiendo bien,sp,1
14719,Hay algo que esta mujer no pueda hacer?,sp,1
14740,y eso que roro las hizo bien☠️,sp,1
14749,roro la esta haciendo bien en cambio la otra hace con los codos fuera y no baja bien roro si,sp,1
14756,YO NUNCA PUDE HACER ESO 😭,sp,1
14762,Roro es la única que las esta haciendo correctamente,sp,1
14772,ya quiero ver esa pelea,sp,1
14780,y eso que está haciendo flexiones cerradas,sp,1
14785,Roro inventó las flexiones para ganar este concurso,sp,1
14792,Roro esta en súper forma🥰🥰🥰,sp,1
14795,"Roro tiene los brazos más pegado al cuerpo, eso hace que se canse más por que hace las flexiones con el tricep, y la campeona tiene los brazos más separados, es más fácil hacerlas así",sp,1
14804,"@???:Isaías 41:10
No tengas miedo
porqué yo estoy contigo
no te desalientes
porqué yo soy tu dios
te daré fuerzas y te ayudaré. ❤️‍🩹
(copien este recado este lindo recado) 🙏",sp,1
14805,Hay cosa que esta mujer no pueda hacer? 😭💗,sp,1
14807,quien esta entrenando a quien?,sp,1
14851,Hay algo que esta joven no haga bien?,sp,1
14856,"y eso que la campeona estaba haciendo con los brazos abiertos, en teoría son más fáciles",sp,1
14866,"Roro gano en técnica, repeticiones y hasta en espiritu mira no mas como lucho esa última. UFFF Team Roro🔥",sp,1
14867,si se dan cuenta roro lo hace hacia atrás y eso es más difícil 😎,sp,1
14870,"ni 30 segundos puedo hacer en la plancha
con este me muero 😭",sp,1
14877,de este barco no me bajo,sp,1
14878,la posición en la que estas es más complicada que la de la campeona y aun así ganaste andas onfire,sp,1
14885,Roro no es de este planeta amo 💖,sp,1
14947,"No tengas miedo
porqué yo estoy contigo
no te desalientes
porqué yo soy tu dios
te daré fuerzas y te ayudaré. ❤️‍🩹
(copien este recado este lindo recado) 🙏",sp,1
14964,"HAZ ALGO PABLOO, EVITA ESTA MASACREE",sp,1
14980,HAY ALGO Q ESTA CHICA NO HAGA BIEN??💗💗💗,sp,1
14981,la campeona dejo de bajar completo a la 16 🔥🔥 ya luego no bajaba mas porque si baja no sube. ambas técnicas están bien incluso a mi se me hace más difícil la de roro pero eso es costumbre,sp,1
14983,Hola vengo del futuro y vengo a advertir que porfavor detengan esta lucha. antes de que abby le pase algo malo😭,sp,1
14993,Miren la paradoja! Roro entreno a su entrenadora para que la entrenara.... Seguro Pablo este detrás de todo esto! 🤣 RIP ABBY,sp,1
15030,Hay algo que no haga bien esta mujer?😍,sp,1
15073,hay algo que esta mujer no haga bien?,sp,1
15078,"Las de roro son más cerradas por ende más fácil de realizar, en cambio la otra es abierta y eso hace que sea más difícil.",sp,1
15096,pero esa técnica de roro 😬😬😬 impecable,sp,1
15102,Hay algo que esta mujer no pueda hacer?,sp,1
15125,hay algo que no sepa hacer esta mujer 🥰?,sp,1
15127,Roro esta haciendo con la técnica correcta creo,sp,1
15128,hay algo que no sepa hacer esta chica 🥰,sp,1
15140,RoRo esta haciendo flexiones mas difíciles,sp,1
15148,Hay algo que esta mujer no sepa hacer? 😭,sp,1
15153,"RoRo aparte de que hizo mas flexiones, las hizo correctamente, ya que de esa manera trabaja mas los bíceps y antebrazos y su compañera hizo flexiones abiertas, y no es muy recomendable hacerla así.",sp,1
15168,Hay algo que esta chica no haga bien?🤔,sp,1
15188,Hay algo que esta mujer haga mal??,sp,1
15209,"y eso q roro las hizo ""estricta"" la otra no",sp,1
15218,roro gano por mucho la chica esa hacia muy mal la técnica a lo ultimo recuerden la técnica si importa,sp,1
15229,hay algo que esta mujer no haga bien ? 🥰,sp,1
15236,"Roro usando el 1% de su poder, Roro todo latam esta contigo 👍👍",sp,1
15239,Roro hizo flexiones que contraen mas el musculo por ende este se fatiga mas rapido que la otra que las hizo abuertas y aun asi hizo menos 💀,sp,1
15262,"@???:Isaías 41:10
No tengas miedo
porqué yo estoy contigo
no te desalientes
porqué yo soy tu dios
te daré fuerzas y te ayudaré. ❤️‍🩹
(copien este recado este lindo recado) 🙏",sp,1
15282,mis hijos siempre veían esas veladas y la verdad que yo dejaba que disfrutaran de su momento pero esta vez cocinaré algo rico y te juro que me instalaré a ver solo por ti rorro🇨🇱🙏🏻💪🏻🇨🇱,sp,1
15286,"Las flexiones de Roro son estrictas, técnica bien hecha ufffff Dios, se nota full entrenamiento para esa técnica hay algo que no pueda hacer 🤔🤔😅😅",sp,1
15312,"Es bueno que entrene con una mujer, las mujeres tenemos mas fuerza en tren inferior que superior, por eso la tecnica, resistencia y el efecto de cadena so re importantes en combate femenino.",sp,1
15326,La campeona se puede lastimar con esa técnica mal hecha,sp,1
15332,roro tuvo mejor tecnica... y esa ejecucion es mas dificil,sp,1
15333,no me esperaba esa técnica dios mío,sp,1
15336,"y eso que las hizo con mejor técnica 🔥
vamos roro",sp,1
15349,nunca veo esas peleas pero esa no me la pierdo por nada 😌 roro🫶,sp,1
15351,"Ganó, y eso que sus flexiones están mejor ejecutadas, es perfeccionista la niña",sp,1
15371,Oiga si saben q las lagartijas q esta asiendo la campiona son más difíciles,sp,1
15390,y encima roro con esa posición de manos lo hizo más difícil 😱😱,sp,1
15406,la diferencia es que roro hace las dominadas cn los brazos más cerrados y la otra con los brazos abiertos esa es la diferencia,sp,1
15409,"""hoy a Pablo se le ocurrió eso xdd""",sp,1
15412,vamos rorooooo 🌹😎 Pablo quiere esa victoria,sp,1
15428,buena condiciones tiene Roro yo concosto hago 7 y me caigo aunq ahora ni eso hago 🤣🤣🤣🤣🤣🤣🤰🏻me da miedo resbalarme y golpearme... eso Roro sigue así ❤️✨,sp,1
15454,creo Roro no es de este planeta,sp,1
15474,Bueno bueno pero esa técnica de roro ufff se nota que le mete con ganas,sp,1
15529,si esa es campeona del mundo de boxeo y hace las flexiones así esq ami me están grabando,sp,1
15578,si pero el problema es que la otra tiene los brazos más abiertos eso es más cansado pero tú los tienes más cerrados por eso hiciste una más los digo porque ya también lo hago,sp,1
15593,la boxeadora esta haciendo flexiones abiertas lo cual son mas faciles de hacer,sp,1
15594,hay aby yo creo que era mejor salirse de esa por que si Pablo quiere ese cinturon ya perdiste. 😭,sp,1
15601,"EL VERDADERO:TE VOY HACER SINCERO BAKI ,no esculpi estos musculos con el objetivo de pelear.",sp,1
15619,y eso solo porque Pablo aún no le dice que se ponga sería,sp,1
15660,roro está en su prime realizó calistenia y de esa manera trabaja mejor los músculos,sp,1
15669,no es hete pero la campeona al hacer las flexiones tenía que bajar más y eso no eran flexiones normales eran flexiones abiertas,sp,1
15671,Solo eso en mi país para ser militar es 60 flexiones en 2 minutos para las damas no creo que esa sea la mejor del mundo,sp,1
15712,obviamente la campeona le dio ventaja a roro ya que las flexiones que ella hace son mas dificiles al ser abiertas pero igual esta en una muy buena forma la roro.,sp,1
15715,roro esta haciendo flexiones serradas y la otra está haciendo flexiones abiertas,sp,1
15725,"tal vez este mal, pero me parece q Roro las hace mejores y con mas tecnica",sp,1
15733,las manos de Roro están más juntas eso hace mucho,sp,1
15741,"Roro lo hizo con los brazos más juntos, y eso es más difícil 🤔",sp,1
15747,y eso que la campeona del mundo de boxeo hizo mal las flexiones 😏,sp,1
15749,roro....es excepcional...sabe hacer de todo...hoy esta haciendo un pie de queso mañana esta haciendo una bomba casera 🥰,sp,1
15762,roro tiene mas tecnica en las flexiones por eso gano😁😁😁,sp,1
15780,ya que Roro lo haga de esa manera es .... uuuff,sp,1
15783,"Y eso que roro las hizo estrictas y hasta abajo, y la otra niña super abiertas y no tan abajo,",sp,1
15791,Buff una nadadora pierde contra una tenista en una partida de tenis eso quiere decir que la tenista es mejor que ella en la natación?,sp,1
15826,roro: a pablo le apetecia q le ganaro a esta chica en flexciones,sp,1
15839,"😎 LA RORO OBRA GRANDÍSIMA, ESO HÁBLALO..😏",sp,1
15856,Qué no hace bien esta chica? Es la mejor del mundo,sp,1
15888,"Hola gente de tik tok, no es por minimizar el esfuerzo de roro ni nada, pero hacer más flexiones que esa otra mujer no es sinónimo de tener la habilidad para dar buenos golpes y con la suficiente ++",sp,1
15897,si esa pelea empieza ella diciendo: el dia de hoy a Pablo se le antojó que ganara ya valió la otra 😂🤣🤣🤣,sp,1
15917,y eso q Roro bajaba más q la otra...,sp,1
15953,"Men que Roro haya dominado las flexiones en tan poco tiempo significa muchas cosas, esta niña lo va lograr todo",sp,1
15974,Hay algo que esta chica no haga bien? ✨🫰🏼,sp,1
15976,roro la esta dando cerrado y la otra abierta ps obvio que roro le tiene ventaja,sp,1
16005,Por qué de repente esta mujer es invencible? 😳👏,sp,1
16009,y eso que roro era más estricta las reps,sp,1
16019,"largatijas cerradas para concentrar mas el triceps, no recuerdo si eso era mas complicado que el convencional 🤔",sp,1
16025,y yo apenas con una o bueno ni para eso llego,sp,1
16031,"pero 27 no es nada , igual esta raro que la campeona no pueda hacer mas de 30",sp,1
16042,Que esta haciendo galletas con creatina🤣💪,sp,1
16047,jajaj yo ago eso y parece que estoy nadando,sp,1
16070,"la otra chica esta haciendo mal las flexiones, la forma correcta de poner los brazos es como los tiene roro",sp,1
16074,Roro las esta haciendo bien la otra no,sp,1
16079,yo algo eso con una mano 🗿,sp,1
16105,yo hago 400 flexiones y más rápido esta hace solo 27 😂😂😂,sp,1
16106,"yo a esa campeona la conozco, salio en Netflix",sp,1
16122,la campeona esta hacienda las flexiones y no dicen nada,sp,1
16130,"Isaías 41:10
No tengas miedo
porqué yo estoy contigo
no te desalientes
porqué yo soy tu dios
te daré fuerzas y te ayudaré. ❤️‍🩹
(copien este recado este lindo recado) 🙏",sp,1
16178,Vamosssss esa rooroooo a tope💪🏼,sp,1
16189,"Esa Roro invencible, este día a Pablo solo se le antojo que le gane, no que la destruya 💪",sp,1
16255,"RoRo no está haciendo las flexiones como la campeona, mi pregunta es, eso influye en algo?🤔",sp,1
16259,hay algo que esta mujer no haga bien??? #TeamRoRo,sp,1
16272,Hay algo que no haga bien esta mujer .!!! ??,sp,1
16273,las de roro está bien la de la campeona no osea ay gente q está confundiendo las flexiones abiertas con esa pero las abiertas son con las manos separadas y la de eya esta es torcidas no abiertas ☺️,sp,1
16274,Y eso que Roro hizo todas las flexiones hasta abajo y la campeona al final solo hacía media flexión,sp,1
16281,"como todo lo que hace roro, sus flexiones estaban bien hechas... ganó este reto por paliza👏👏👏 😍😍😍😘😘",sp,1
16322,Yo nunca he podido hacer eso jajajaja,sp,1
16344,"existirá alguna cosa que está mujer hermosa no sepa hacer bien?
que bárbara esta mujer❤",sp,1
16350,"está bien, pero eso no significa más fuerza si pensamos en que ella es livianita. Cuando yo tenía 13 años hacía 58 flexiones sin parar en 1 minuto, ahora con suerte 30, pero soy el triple de fuerte 😅",sp,1
16355,lo que no saben roro esta haciedno flexiones cerraras y eso es un poco mas dificil,sp,1
16373,Habrá algo que haga mal esa mujer?,sp,1
16390,hay algo que esta mujer no haga bien ?😌,sp,1
16408,roro la esta haciendo bien la otra no baja nada y tiene los brazos mal pocicionado increible que no se halla lecionado xd,sp,1
16413,la campeona tiene abierta mucho las manos eso cansa menos y puedes hacer más repeticiones,sp,1
16420,Hay algo que no haga bien esta mujer ?,sp,1
16450,la diferencia esta en los brazos...,sp,1
16469,Roro siempre demuestra el esfuerzo es el camino al éxito pero a eso hay que sumarle que roro sabe que ella puede y quiere ser la mejor 🥰🥰,sp,1
16481,"Mi record es de 20, cómo es posible este suceso",sp,1
16499,Muy bien RoRo esa es la posición real de las flexiones 🙂🙂,sp,1
16507,Abby esta perdida,sp,1
16573,hay algo que esta mujer no haga bien?,sp,1
16574,que no hace esta bella mujer....un modelo deberas ... gracias por ese ejemplo de superación personal🙏🙏🥰,sp,1
16583,Esque esta mujer si que es determinada. 👏,sp,1
16590,"pero la ""campeona"" no las uso bien en esa pose uno se cansa menos bueno eso según yo 😃👍",sp,1
16604,Cuándo es esa pelea?? Llevo como mil años esperando,sp,1
16612,"no pues a esa ""campeona"" no la vi hacer ni una repetición 🤣",sp,1
16637,qué es esa técnica de la campeona de boxeo? jajah,sp,1
16657,"roro te tenía envidia y por eso no te seguía, mido 1.47 y no tienes idea lo mucho que te apoyo ahora, HERMOSA por todas esas veces que muchas nos hemos sentido inferiores 🤝🏻",sp,1
16688,creeis que pida por abby este domingo en la iglesia,sp,1
16699,lo de roro tenga esa técnica?🗿🗿,sp,1
16703,Bro QUE NO SABE HACER ESTA MUJERRRRRRR,sp,1
16732,roro no es de esta tierra 🌎😍,sp,1
16761,"las mujeres debería tomar este ejemplo de muchacha, mis respetos",sp,1
16808,"Te voy a ser sincero baki, no esculpí estos músculos con el objetivo de pelear",sp,1
16809,hay algo que esta niña no haga perfecto???,sp,1
16832,Bueno cualquiera de las dos técnicas en esa cantidad sí que es difícil!,sp,1
16836,vamos roro voy a ti ! demuestra que nosotras decidimos que hacer con nuestras vidas y si eso es cocinarle a nuestro Pablo eso está bien!!💪🔥🇻🇪,sp,1
16840,hay algo que esta mujer no haga bien??,sp,1
16861,Si miramos bien una esta haciendo un ejercicio mientras que la otra simplemente se deja caer sin controlar su peso simplemente cumpliendo un recorrido mientras que la otra lo realiza como debe ser,sp,1
16863,es que hay algo que esta mujer no haga bien?,sp,1
16893,y si le proponemos a roro llegar a marte? jaja esa mujer hace todo bien!,sp,1
16896,"Que Grande Roro, le esta enseñando a la campeona coml se hace y ademas pone que es una competencia para no hacerla sentir mal 👏🏽",sp,1
16900,Esta entrenando con la campeona del mundo d boxeo uy esta fuerte su entrenamiento,sp,1
16915,Hay algo que esta hermosura no haga bien?? 🥰🥰🥰🥰,sp,1
16919,@jayrotam veré esa velada,sp,1
16928,Roro no es de este mundo,sp,1
16946,habrá una cosa que no haga bien esta mujer??,sp,1
16954,"increíble Roro, mira esa forma en sus flexiones 😳",sp,1
16986,todos sabemos que Roro esta haciendo más flexiones,sp,1
16997,😂😂😂😂 solo 27 yo soy amateur y ni box practico y me hago 40 sin parar en buena técnica y para mi eso es nivel bb ya que estoy seguro que otros se harán mucho más 😂😂,sp,1
17017,"y eso q roro lo hizo más abajo eh, abby dijo a roro de hecho cuando me vea en el ring me va a tanar miedo pero parece q va a ser al reves JAJAJAS",sp,1
17097,ala campeonato esa de boxeo de una la dejo kao y no e peleado en mi vida,sp,1
17107,Tu si el que esta leyendo esto estas chicas son mejores que tu dame 30 flexiones,sp,1
17110,"gran ejercicio de ambas sigan con esa gran actitud, roro siempre dándolo todo, la mejores bendiciones y deseos para ambas 💯😁🙌",sp,1
17117,"La gente que dice que es mas dificil las de roro? Cuanto mas abierto mas de pecho y menos de triceps tira, si el pecho no esta desarrollado cuesta mas abierto que cerrado, pero igual FLIPASSS",sp,1
17122,pero roro hace algo mal? jaajaja es una pasada esta chica!,sp,1
17154,Ahora todo el mundo es experto en flexiones y para empezar eso son sentadillas y es bueno para trabajar la zona amberxa del cupilo interior del coloquio transversal,sp,1
17163,la técnica de roro está mejor verdad eso es lo que yo veo la otra abre mucho los brazos,sp,1
17177,y eso que Roro bajaba más que la otra chica🗿,sp,1
17187,nunca creí que Roro pusiera esa canción para entrenar,sp,1
17223,campeona del mundo en boxeo y esa técnica al momento de hacer una flexion😅,sp,1
17238,y eso que las planchas con los codos para dentros son más difíciles que los de codo rectos afuera,sp,1
17331,Sabían que rorro es la hija de Rocky Balboa y que Abby es la Hija de Víctor Drago y por eso es que Abby es más grande que rorro,sp,1
17343,Hay algo q esta mujer no haga bien?,sp,1
17362,y eso q la campeona de boxeo las hacía fatal💀,sp,1
17404,"Hubiera hecho más sino hubiera empezado tan enérgica, eso hizo que se cansara muy rápido. Pero no importa, eres increible Roro 😘",sp,1
17419,"Soy profesional de Cultura Física y debo decir que Roro esta haciendo una flexiones con apoyo cerrado donde se trabajan más otros musculos. (Triceps, dorsales, hombro, pectoral, abdomen).",sp,1
17455,mira esa ejecución 😎 perfecto,sp,1
17546,porque la otra hizo abiertas ... eso hace daño a los nervios,sp,1
17553,enserio alguien digame algo que esta mujer no sabe hacer 💀,sp,1
17605,Roro esta haciendo otro tipo de flexiones por eso gano,sp,1
17691,Dios esta mujer que la clonen 😂👏,sp,1
17697,Eso es todo @RoRo tu puedes con eso y todo 🥹🤜🏻🫰🏻♥️♥️♥️,sp,1
17762,Las que esta haciendo la campeona valen por 2 exigen mas,sp,1
17767,Por Dios esta chica es como un Ciborg!!!?,sp,1
17783,roro es la mamá de esa tal campeona 🔥,sp,1
17843,ala y las flexiones que esta haciendo Roro son más difíciles aun que el otro estilo 😳😳😳,sp,1
17870,Hay algo que no sepa hacer esta chica ?? 🥰🥰🥰🥰🥰,sp,1
17909,@🐐⚡️ este pana iso más que esa campeona de boxeo,sp,1
17925,que hermosa es esta mujer,sp,1
17931,que no sabe esta mujer 😍,sp,1
17952,roro y esa rola? 🤦,sp,1
17959,hay algo que esta mujer no haga bien?,sp,1
17963,"Roro bien, la otra esta haciendo omóplato 🤣",sp,1
18010,Roro y esa cancion ???😭 No eres tú 😭😭😭,sp,1
18017,Y eso que hacer flexiones con las piernas mas separadas es mas facil 💀,sp,1
18034,primer comentario saludas estas bellisima,sp,1
18056,puedes hacer eso hasta cocinando,sp,1
18077,"tanto criticarla y ver alguno de los que habla de ella hacer eso , ya vemos que no sólo sabe hacer recetas",sp,1
18084,"La campeona del mundo esta haciendo flexiones usando el pectoral solamente... Por otra parte roro, al tener menos distancia en el apoyo de las manos, está usando pectoral + tríceps. Injusto, no?",sp,1
18093,vieron este vídeo y mandaron a RoRo a la velada ajajaj,sp,1
18096,Hay algo que no haga bien esa mujer,sp,1
18108,muy fan de esta mujer 🔥🔥🔥,sp,1
18124,Y si las hace bien? Esa necesidad de querer sentirse mejor en todo es absurdo,sp,1
18166,"la campeona hace flexiones abiertas pero con mal técnica porque no baja bien y encima con los pies más abiertos que eso ayuda, lo de RoRo es increíble",sp,1
18174,Pero el tipo de flexión que esta haciendo Roro es más difícil,sp,1
18178,Dios bendiga a esta mujer y que de esa bendita mujer me suelte un trancazo bendito 😻,sp,1
18213,"Tus flexiones se centraron en el tríceps, mientras que la de ella en el pecho, por eso aguanto menos…",sp,1
18236,"las flexiones se hacen con los codos pegados al cuerpo, no soy team nadie, pero la boxeadora las hace de manera errónea, roro las hace de forma correcta, y de esa manera, cuestan mucho más h",sp,1
18263,la técnica de la campeona esta mal,sp,1
18266,todo esta como ponen los brazos,sp,1
18270,Yo solo quiero que le den like a mi comentario para que este celular suene y suene las notificaciones y mi mujer me pregunte enojada; Quien diablos te habla tanto y se arme el apocalipsis,sp,1
18334,"Si esa tía es campeona de boxeo del mundo, yo puedo llegar a la luna de un salto",sp,1
18376,de todas las canciones que podrías ponértela esta es la mejor voy a dormir a campeona,sp,1
18377,"obvio que esta fingiendo la ""campeona""",sp,1
18381,La campeona está haciendo pecho y Roro esta haciendo tricep 👀,sp,1
18393,Roro que te enseñe a pegar duro para ganarle a la engreída esa 😎 vamos Roro,sp,1
18415,Hay algo que no haga bien esta mujer? 😅,sp,1
18450,soy peleador amateur y si hacemos menos de 40 nos echan del club.. esa boxeadora tiene que poder hacer mucho más si o si jajaj,sp,1
18454,"@???:Isaías 41:10
No tengas miedo
porqué yo estoy contigo
no te desalientes
porqué yo soy tu dios
te daré fuerzas y te ayudaré. ❤️‍🩹
(copien este recado este lindo recado) 🙏",sp,1
18476,la entrenadora las hizo con las manos abiertas por eso se canso más rápido,sp,1
18484,"Y eso que la boxeadora, no las hizo bien.",sp,1
18511,Hay algo que esta MUJER no pueda hacer!! 💀☺️,sp,1
18533,roro le digo algo usted gano pq la campeona las esta asiendo mal acambio vos las ases perfectas a y wau esperaba solo 15,sp,1
18535,por favor que alguien ponga a hacer su primera flexion a los entendidos q comentan que una esta mal y la otra bien 🤦‍♂️🤣🤣🤣🤣,sp,1
18536,"Diferentes flexiones y pesas menos, pero igual estuvo increíble no todos hacen esa cantidad. 🙂‍↕️🫶",sp,1
18572,yo ago eso bajo y no subo tengo brazos de espaweti,sp,1
18590,Y eso que lo hizo más cerrado 😳,sp,1
18634,"Las flexiones de la campeona son abiertas, eso hace que su rendimiento sea inferior oh que su cuerpo carge más peso de lo normal, y roro lo está haciendo bien ya que su cuerpo se centra más en el apoy",sp,1
18653,Y eso que a Pablo no se Le antojo🗿💀,sp,1
18682,"me gustaría ver esa versión de RORO
A QUIEN MAS???? =====>>>>",sp,1
18766,Pero esta chica puede parar de hacerlo todo bien?????,sp,1
18773,la otra está haciendo trampa eso no son flecciones,sp,1
18780,"Con esa técnica, campeón cualquiera",sp,1
18783,"estas entrenando o estas haciendl publicidad? cuando se entrena, se entrena sin paparaxi",sp,1
18795,a ver tu fuerza explosiva? esa la vas a necesitar más,sp,1
18805,qe alguien le enseñe a esa campeona como se hacen las flexiones,sp,1
18822,vieron esos brazos ...... cambiaron mucho,sp,1
18851,roro esta potente ☠️,sp,1
18872,"teniendo en cuenta que el boxeo los hombros son mas propensos a lesiones
que la supuesta campeona haga las flexiones de esa manera, me hace poner en duda de su entrenador físico, es mas lesivo asi",sp,1
18918,la otra esta haciendo las flexiones mal los con van hacia dentro no hacia fuera,sp,1
18920,hay algo que esta mujer no sepa hacer bien? 😳😳,sp,1
18999,like por esa music roro😂😂😂,sp,1
19020,las esta haciendo mal la cam,sp,1
19026,roro si las esta haciendo bien pero la disque campeona del mundo de boxeo las esta haciendo todas mal los codos van atras,sp,1
19037,pero dele que esta haciéndolas muy encorvada la campeona,sp,1
19065,es que roro tiene los brazos a los hombros en cambio la de boxeo los tiene más allá de los hombros y eso lo hace más fácil,sp,1
19120,acaso hay algo que esta mujer no pueda aser 😳,sp,1
19142,"Roro tiene los pies más juntos y los brazos también, esa posición es muchísimo más difícil, profundiza más que la otra chica. Aguante Roro",sp,1
19154,si ya estaba 😍 de @RoRo ahora que esta fit me 😍 mas.....,sp,1
19166,Donde esta la pelea no la encuentro,sp,1
19200,campeona 😂😂😂😂😂😂 con esa tecnica de flexiones si claroo,sp,1
19207,abbby viendo este video 🫡😭,sp,1
19232,"si esta entrenando con ella, adiós abby",sp,1
19233,abby esta re muerta 😟,sp,1
19243,jajaja eso RoRo! 😃🖤,sp,1
19250,la campeona del mundo de boxeo le gano igual porque aparte estaba haciendo flexiones abiertas que eso cuesta mas que flexiones normales que hacia roro,sp,1
19278,bro y esa técnica,sp,1
19302,Una campeona de boxeo hace solo 26 flexiones? Y con esa tecnica…,sp,1
